breed_primary,breed_secondary,breed_mixed,breed_unknown,name,age,sex,size,contact_city,contact_state,contact_zip,contact_country,FoundCity,FoundState,foundStateAbb,stateQ
Miniature Schnauzer,,False,False,Boris,Adult,Male,Small,Anoka,MN,55303,US,,Arkansas,AR,MN
Australian Cattle Dog / Blue Heeler,,False,False,Zac,Young,Male,Medium,Adamstown,MD,21710,US,Adam,Maryland,MD,DC
Cockapoo,,True,False,TATE,Young,Female,Small,Wooster,OH,44691,US,Akron,Ohio,OH,OH
Cockapoo,,True,False,TATE,Young,Female,Small,Wooster,OH,44691,US,Akron,Ohio,OH,OH
Chihuahua,,True,False,Trixie B,Young,Female,Small,Locust Fork,AL,35097,US,,Alabama,AL,AL
Dachshund,,True,False,Reba,Adult,Female,Small,Locust Fork,AL,35097,US,,Alabama,AL,AL
Labrador Retriever,Hound,True,False,Moric,Young,Male,Medium,Locust Fork,AL,35097,US,,Alabama,AL,AL
Chihuahua,,True,False,Bert Loves to snuggle!,Adult,Male,Small,Locust Fork,AL,35097,US,,Alabama,AL,AL
Chihuahua,,True,False,Gypsy Girl,Adult,Female,Small,Locust Fork,AL,35097,US,,Alabama,AL,AL
Chihuahua,Dachshund,True,False,Tiny Tim B 5 lbs of love,Baby,Male,Small,Locust Fork,AL,35097,US,,Alabama,AL,AL
Labrador Retriever,Terrier,True,False,Pepper B,Baby,Female,Medium,Locust Fork,AL,35097,US,,Alabama,AL,AL
Bloodhound,Black and Tan Coonhound,True,False,Roxie B,Baby,Female,Medium,Locust Fork,AL,35097,US,,Alabama,AL,AL
Labrador Retriever,Golden Retriever,True,False,Aiden B,Young,Male,Medium,Locust Fork,AL,35097,US,,Alabama,AL,AL
Chihuahua,,True,False,Pippin B,Young,Female,Small,Locust Fork,AL,35097,US,,Alabama,AL,AL
Chihuahua,,True,False,Lamb Chop B,Young,Male,Small,Locust Fork,AL,35097,US,,Alabama,AL,AL
Cattle Dog,Beagle,True,False,Ponce B,Baby,Male,Medium,Locust Fork,AL,35097,US,,Alabama,AL,AL
Golden Retriever,Labrador Retriever,True,False,Misha B,Baby,Female,Medium,Locust Fork,AL,35097,US,,Alabama,AL,AL
Brussels Griffon,Chihuahua,True,False,Zelda,Baby,Female,Medium,Locust Fork,AL,35097,US,,Alabama,AL,AL
Chihuahua,,True,False,Loki,Baby,Male,Small,Locust Fork,AL,35097,US,,Alabama,AL,AL
Chihuahua,,True,False,Daisey,Baby,Female,Small,Locust Fork,AL,35097,US,,Alabama,AL,AL
Chihuahua,,True,False,Maxine,Baby,Female,Small,Locust Fork,AL,35097,US,,Alabama,AL,AL
Chihuahua,Corgi,True,False,Mr. Pearson,Adult,Male,Small,Locust Fork,AL,35097,US,,Alabama,AL,AL
Chihuahua,Corgi,True,False,Mr. Pearson,Adult,Male,Small,Locust Fork,AL,35097,US,,Alabama,AL,AL
Chihuahua,Terrier,True,False,Bristol B 6 lbs,Baby,Female,Small,Locust Fork,AL,35097,US,,Alabama,AL,AL
Chihuahua,,True,False,Scooter B 6lbs. of Love!,Baby,Male,Small,Locust Fork,AL,35097,US,,Alabama,AL,AL
Labrador Retriever,Yellow Labrador Retriever,True,False,Addison B,Baby,Female,Medium,Locust Fork,AL,35097,US,,Alabama,AL,AL
Labrador Retriever,Spaniel,True,False,Eerie,Baby,Female,Medium,Locust Fork,AL,35097,US,,Alabama,AL,AL
Shepherd,Hound,True,False,Pudding,Adult,Female,Medium,Locust Fork,AL,35097,US,,Alabama,AL,AL
Labrador Retriever,Shepherd,True,False,Aliena,Baby,Female,Medium,Locust Fork,AL,35097,US,,Alabama,AL,AL
Labrador Retriever,Shepherd,True,False,Alicia,Baby,Female,Medium,Locust Fork,AL,35097,US,,Alabama,AL,AL
Australian Shepherd,Border Collie,True,False,Leeya,Baby,Female,Medium,Locust Fork,AL,35097,US,,Alabama,AL,AL
Labrador Retriever,Shepherd,True,False,Spencer,Baby,Male,Medium,Locust Fork,AL,35097,US,,Alabama,AL,AL
Hound,Rhodesian Ridgeback,True,False,Chuck,Baby,Male,Medium,Locust Fork,AL,35097,US,,Alabama,AL,AL
Labrador Retriever,,True,False,Birdie,Baby,Female,Large,Locust Fork,AL,35097,US,,Alabama,AL,AL
Labrador Retriever,,True,False,Alawna,Baby,Female,Medium,Locust Fork,AL,35097,US,,Alabama,AL,AL
Labrador Retriever,Border Collie,True,False,Bella B lower fee,Baby,Female,Medium,Locust Fork,AL,35097,US,,Alabama,AL,AL
Labrador Retriever,American Bulldog,True,False,Drizzle B,Young,Male,Medium,Locust Fork,AL,35097,US,,Alabama,AL,AL
Retriever,,True,False,Hoss,Baby,Male,Medium,Locust Fork,AL,35097,US,,Alabama,AL,AL
